method_key,method,section,kind,file,route,group,seed,has_ground_truth,steps,extinctions,final_x,final_y,trajectory,rmse_m,mean_error_m,max_error_m,excluded_points,held_end_points
E_mh,提案方式+複数経路仮説,,variant,pdr_log_0805_1442.csv,,h0,777.0,False,76,0.0,660.5,124.9,C:\Users\satos\i22satou\pdr_program\results\20260924_120622_evaluation_0805check_recovery\runs\E_mh\seed-777\pdr_log_0805_1442_traj_enforce-auto_android-walking_seed-777.csv,,,,,
E_mh,提案方式+複数経路仮説,,variant,pdr_log_0805_1442.csv,,h0,2024.0,False,76,0.0,584.2,142.3,C:\Users\satos\i22satou\pdr_program\results\20260924_120622_evaluation_0805check_recovery\runs\E_mh\seed-2024\pdr_log_0805_1442_traj_enforce-auto_android-walking_seed-2024.csv,,,,,
E_mh_bl,提案方式+複数経路仮説+分岐選別尤度(σ=90度),,variant,pdr_log_0805_1438.csv,,h0,1.0,False,105,1.0,66.7,236.0,C:\Users\satos\i22satou\pdr_program\results\20260924_120622_evaluation_0805check_recovery\runs\E_mh_bl\seed-1\pdr_log_0805_1438_traj_enforce-auto_android-walking_seed-1.csv,,,,,
E_mh_bl,提案方式+複数経路仮説+分岐選別尤度(σ=90度),,variant,pdr_log_0805_1438.csv,,h0,7.0,False,105,1.0,54.2,229.9,C:\Users\satos\i22satou\pdr_program\results\20260924_120622_evaluation_0805check_recovery\runs\E_mh_bl\seed-7\pdr_log_0805_1438_traj_enforce-auto_android-walking_seed-7.csv,,,,,
E_mh_bl,提案方式+複数経路仮説+分岐選別尤度(σ=90度),,variant,pdr_log_0805_1438.csv,,h0,42.0,False,105,1.0,56.7,229.4,C:\Users\satos\i22satou\pdr_program\results\20260924_120622_evaluation_0805check_recovery\runs\E_mh_bl\seed-42\pdr_log_0805_1438_traj_enforce-auto_android-walking_seed-42.csv,,,,,
E_mh_bl,提案方式+複数経路仮説+分岐選別尤度(σ=90度),,variant,pdr_log_0805_1438.csv,,h0,100.0,False,105,0.0,58.3,233.3,C:\Users\satos\i22satou\pdr_program\results\20260924_120622_evaluation_0805check_recovery\runs\E_mh_bl\seed-100\pdr_log_0805_1438_traj_enforce-auto_android-walking_seed-100.csv,,,,,
E_mh_bl,提案方式+複数経路仮説+分岐選別尤度(σ=90度),,variant,pdr_log_0805_1438.csv,,h0,777.0,False,105,1.0,60.9,234.9,C:\Users\satos\i22satou\pdr_program\results\20260924_120622_evaluation_0805check_recovery\runs\E_mh_bl\seed-777\pdr_log_0805_1438_traj_enforce-auto_android-walking_seed-777.csv,,,,,
E_mh_bl,提案方式+複数経路仮説+分岐選別尤度(σ=90度),,variant,pdr_log_0805_1438.csv,,h0,2024.0,False,105,0.0,52.0,228.6,C:\Users\satos\i22satou\pdr_program\results\20260924_120622_evaluation_0805check_recovery\runs\E_mh_bl\seed-2024\pdr_log_0805_1438_traj_enforce-auto_android-walking_seed-2024.csv,,,,,
E_mh_bl,提案方式+複数経路仮説+分岐選別尤度(σ=90度),,variant,pdr_log_0805_1441.csv,,h0,1.0,False,79,0.0,644.3,106.1,C:\Users\satos\i22satou\pdr_program\results\20260924_120622_evaluation_0805check_recovery\runs\E_mh_bl\seed-1\pdr_log_0805_1441_traj_enforce-auto_android-walking_seed-1.csv,,,,,
E_mh_bl,提案方式+複数経路仮説+分岐選別尤度(σ=90度),,variant,pdr_log_0805_1441.csv,,h0,7.0,False,79,0.0,644.6,105.4,C:\Users\satos\i22satou\pdr_program\results\20260924_120622_evaluation_0805check_recovery\runs\E_mh_bl\seed-7\pdr_log_0805_1441_traj_enforce-auto_android-walking_seed-7.csv,,,,,
E_mh_bl,提案方式+複数経路仮説+分岐選別尤度(σ=90度),,variant,pdr_log_0805_1441.csv,,h0,42.0,False,79,0.0,635.0,120.1,C:\Users\satos\i22satou\pdr_program\results\20260924_120622_evaluation_0805check_recovery\runs\E_mh_bl\seed-42\pdr_log_0805_1441_traj_enforce-auto_android-walking_seed-42.csv,,,,,
E_mh_bl,提案方式+複数経路仮説+分岐選別尤度(σ=90度),,variant,pdr_log_0805_1441.csv,,h0,100.0,False,79,0.0,640.1,105.7,C:\Users\satos\i22satou\pdr_program\results\20260924_120622_evaluation_0805check_recovery\runs\E_mh_bl\seed-100\pdr_log_0805_1441_traj_enforce-auto_android-walking_seed-100.csv,,,,,
