timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,x,y
6.02,-0.44985065,4.1407795,7.8335032,0.22219568,-0.01267508,-0.083686076
6.04,-0.4211368,4.0737805,8.211569,0.14645062,0.22555535,-0.08979455
6.061,-0.5886344,4.0354953,8.709276,0.11346488,0.33428615,-0.067804046
6.084,-0.7082755,4.011567,8.982058,0.09513946,0.3208475,-0.007941014
6.106,-0.90448695,3.9445682,9.149555,0.06826218,0.2170035,0.05314371
6.127,-0.98584294,3.8536408,9.053843,0.04871507,0.09239065,0.073912516
6.147,-0.8757731,3.9684963,8.690134,0.027946262,-0.027335415,0.07146913
6.167,-0.72263247,4.126423,8.292925,0.0010689828,-0.11285403,0.06658235
6.187,-0.63170516,4.2221355,7.929216,-0.0062611843,-0.110410646,0.060473878
6.207,-0.5312066,4.3465624,7.728219,-0.016034741,-0.028557109,0.05803049
6.227,-0.5455636,4.470989,7.752147,-0.0025961008,0.050853033,0.06902574
6.247,-0.5886344,4.566702,7.919645,0.020616096,0.10827268,0.10323319
6.267,-0.64606214,4.62413,7.986644,0.04382829,0.11560284,0.13499725
6.288,-0.66999036,4.6145587,7.929216,0.053601846,0.10094251,0.14843589
6.309,-0.5455636,4.729414,7.780861,0.042606596,0.091168955,0.14599249
6.329,-0.4211368,4.877769,7.6947193,0.0035123718,0.119267926,0.14110571
6.35,-0.3493521,5.0165524,7.7617183,-0.039246935,0.16447063,0.13499725
6.371,-0.3493521,5.160122,7.8670025,-0.082006246,0.22311196,0.11911522
6.392,-0.38763726,5.2701917,8.206783,-0.12110047,0.2585411,0.09834641
6.412,-0.38763726,5.346762,8.560922,-0.14309096,0.24876754,0.080020994
6.433,-0.41635114,5.51426,8.771489,-0.1577513,0.22677705,0.061695572
